artist,name,city,venue,date,genres,popularity
Rekha Bhardwaj,Rekha Bhardwaj Live,Ahmedabad,Gujarat University Convention and Exhibition Centre,11/9/2025 20:00,Bollywood,85
Ram Miriyala,Ram Miriyala Live,Bengaluru,Sunburn Union Bangalore,11/9/2025 20:00,Indie,80
Akon,Akon Concert,Bengaluru,,11/14/2025 19:00,Pop,95
Jubin Nautiyal,Jubin Nautiyal Live,Hyderabad,Boulder Hills: Hyderabad,11/15/2025 17:30,Bollywood,88
Javed Ali,Javed Ali Concert,Pune,Liberty Square Phoenix Mall,11/15/2025 19:00,Bollywood,85
Armaan Malik,Armaan Malik Live,Delhi,,11/15/2025 19:00,Pop,88
Mohammed Irfan,Mohd Irfan Live,Delhi,Open Amphitheatre,11/15/2025 19:00,Bollywood,85
Kumar Sanu,Kumar Sanu Live,Ahmedabad,Rajpath Club,11/15/2025 19:00,Bollywood,85
Harshdeep Kaur,Harshdeep Kaur Live,Mumbai,The Grand Theatre,11/15/2025 19:00,Bollywood,85
Papon,Papon Live,Ahmedabad,Karnavati Club,11/15/2025 20:00,Folk,85
Abhishek Upmanyu,TOXIC Live,Delhi,Kedarnath Sahni Auditorium,11/15/2025 20:00,Comedy,88
Abhishek Upmanyu,TOXIC Live,Delhi,Kedarnath Sahni Auditorium,11/16/2025 14:00,Comedy,88
Akon,Akon Concert,Mumbai,,11/16/2025 19:00,Pop,95
Travis Scott,Travis Scott Live,Mumbai,Mahalaxmi Race Course - Polo Ground,11/19/2025 17:00,HipHop,95
Sid Sriram,Sid Sriram Live,Bengaluru,District Arena @ Terraform,11/22/2025 17:00,Bollywood,88
Shweta Mohan,Shweta Mohan Live,Hyderabad,,11/22/2025 19:00,Bollywood,85
Gurdas Maan,Gurdas Maan Live,Delhi,Sirifort Auditorium,11/22/2025 19:00,Bollywood,88
Lucky Ali,Lucky Ali Live,Kolkata,Aquatica Ground,11/22/2025 19:00,Folk,85
Javed Ali,Javed Ali Concert,Mumbai,Shanmukhananda Hall,11/22/2025 19:00,Bollywood,85
Rahul Deshpande,Rahul Deshpande Live,Mumbai, Vile Parle,11/22/2025 20:30,Bollywood,85
Papon,Papon Live Concert,Mumbai,Shanmukhananda Hall,11/23/2025 18:30,Folk,85
Usha Uthup,Usha Uthup Live,Mumbai,Royal Opera House Theatre,11/28/2025 19:00,Pop / Retro,85
Sid Sriram,Sid Sriram Concert,Chennai,YMCA,11/29/2025 17:00,Bollywood,88
Radhika Das,Radhika Das Live,Mumbai,Nesco Hall 6,11/29/2025 19:00,Devotional / Spiritual,80
Palak Muchhal,Palak Muchhal Concert,Mumbai,Dublin Square Phoenix Marketcity,11/29/2025 19:30,Bollywood,85
Sonu Nigam,Sonu Nigam Live,Hyderabad,,11/29/2025 19:30,Bollywood,90
Roop Kumar Rathod,Roop Kumar Rathod Live,Mumbai,Shanmukhananda Hall,11/30/2025 19:00,Classical / Bollywood,85
AP Dhillon,AP Dhillon Live,Ahmedabad,,12/5/2025 18:30,Hip-Hop / Punjabi Pop,95
Hariharan,Hariharan Live,Mumbai,Shanmukhananda Hall,12/5/2025 19:30,Classical / Ghazal,90
KS Chitra,KS Chitra Live,Salem,,12/6/2025 18:00,Classical / South Indian,85
Hariharan,Hariharan Live,Pune,Amanora Mall Oasis Lawn,12/6/2025 19:00,Classical / Ghazal,90
Shweta Mohan,Shweta Mohan Live,Chennai,,12/6/2025 19:00,Bollywood,85
Rekha Bharadwaj,Jazbaa Ft Rekha Bhardwaj Live,Kolkata,Biswa Bangla Convention Centre,12/6/2025 19:00,Sufi / Bollywood,85
Sunidhi Chauhan,Sunidhi Chauhan Live,Pune,Suryakant Kakade Farms,12/6/2025 19:00,Bollywood / Pop,90
Lucky Ali,Lucky Ali Live,Bengaluru,Phoenix Marketcity Whitefield,12/6/2025 19:00,Folk,85
Sonu Nigam,Sonu Nigam Live,Kolkata,Aquatica Ground,12/6/2025 19:30,Bollywood,90
Satinder Sartaaj,Satinder Sartaaj Live,Panipat,P.I.E.T - Panipat Institute of Engineering & Technology,12/7/2025 19:00,Punjabi / Sufi,88
Mithoon Sharma,Mithoon Live Show,Mumbai,Dublin Square Phoenix Marketcity,12/7/2025 19:30,Bollywood,85
Mohammed Irfan,Mithoon Live Show,Mumbai,Dublin Square Phoenix Marketcity,12/7/2025 19:30,Bollywood,85
Asees Kaur,Mithoon Live Show,Mumbai,Dublin Square Phoenix Marketcity,12/7/2025 19:30,Bollywood,85
Mohammad Danish,Mithoon Live Show,Mumbai,Dublin Square Phoenix Marketcity,12/7/2025 19:30,Bollywood,80
Post Malone,Post Malone Live,Guwahati,Khanapara Veterinary Ground,12/8/2025 17:00,Pop / Hip-Hop,95
Satinder Sartaaj,Satinder Sartaaj Live,Ahmedabad,Pandit Deendayal Upadhyay Auditorium,12/12/2025 19:00,Punjabi / Sufi,88
Sid Sriram,Sid Sriram Concert,Hyderabad,LB Stadium,12/13/2025 17:00,Bollywood,88
Shweta Mohan,Shweta Mohan Live,Kochi,,12/13/2025 19:00,Bollywood,85
Papon,Papon Live Concert,Thane,,12/13/2025 19:00,Folk,85
Lucky Ali,Lucky Ali Live,Hyderabad,The League,12/13/2025 19:00,Folk,85
Papon,Papon Concert,Pune,Oasis Amanora Mall,12/14/2025 19:00,Folk,85
Usha Uthup,Usha Uthup Live,Mumbai,Nehru Centre,12/19/2025 19:30,Pop / Retro,85
Papon,Papon Concert,Indore,Indore,12/20/2025 18:00,Folk,88
Ammy Virk,Ammy Virk Live,Delhi,NSIC Exhibition Ground Gate 6,12/20/2025 18:30,Punjabi / Folk,85
Lucky Ali,Lucky Ali Live,Ahmedabad,Savanna Party Lawn,12/20/2025 19:00,Folk,95
Sunburn Festival,Sunburn Festival,Mumbai,,12/21/2025 19:00,EDM,85
Papon,Papon Concert,Delhi,Yashobhoomi Convention Center,12/21/2025 19:00,Folk,85
Javed Ali,Javed Ali Live,Delhi,Talkatora Stadium,12/21/2025 19:00,Bollywood,90
Sonu Nigam,Sonu Nigam Live,Ahmedabad,Nijanand Farm GIFT City,12/21/2025 19:30,Bollywood,95
AP Dhillon,AP Dhillon Live,Mumbai,Jio World Convention Centre,12/26/2025 19:00,Hip-Hop / Punjabi Pop,88
DJ Chetas,New Years Eve 2026,Ahmedabad,,12/31/2025 19:00,EDM / Bollywood,85
Kumar Sanu,Kumar Sanu Concert,Delhi,Plenary Hall Bharat Mandapam,1/10/2026 18:30,Bollywood,92
Ilaiyaraaja,Ilaiyaraaja Live Concert,Bengaluru,NICE Grounds,1/10/2026 19:00,Classical,85
Vishal Bhardwaj,Vishal And Rekha Bhardwaj Live,Delhi,Bharat Mandapam,1/10/2026 19:00,Classical,90
Sonu Nigam,Sonu Nigam Live,Pune,MahaLaxmi Lawns Karve Nagar,1/10/2026 19:30,Bollywood,85
Lucky Ali,Lucky Ali Live,Mumbai,DOME SVP Stadium,1/11/2026 19:00,Folk,80
Piyush Mishra,Piyush Mishra Live,Ahmedabad,,1/11/2026 19:00,Indie / Theatre,85
Palak Muchhal,Palak Muchhal Concert,Pune,Amanora Mall Oasis Lawn,1/17/2026 19:30,Bollywood,95
John Mayer,John Mayer Live,Mumbai,Mahalaxmi Race Course Polo Ground,1/22/2026 17:00,Pop / Rock,85
Abhijeet Bhattacharya,Abhijeet Bhattacharya Concert,Mumbai,Nehru Centre,1/30/2026 19:00,Bollywood,85
Sonu Nigam,Sonu Nigam Live,Shillong,,1/31/2026 19:30,Bollywood,90
Satinder Sartaaj,Satinder Sartaaj Live,Delhi,Jawaharlal Nehru Stadium,2/14/2026 19:00,Punjabi / Sufi,88
Kumar Sanu,Kumar Sanu Concert,Mumbai,Shanmukhananda Hall,2/21/2026 19:00,Bollywood,85
Piyush Mishra,Piyush Mishra Live,Kolkata,Science City Auditorium,2/28/2026 19:00,Indie / Theatre,80
Sonu Nigam,Sonu Nigam Live,Delhi,,3/28/2026 19:30,Bollywood,90
